
"dBm" -119 "bps" 753 "y" 0
"dBm" -47 "bps" 4568 "y" 1
"dBm" -105 "bps" 1363 "y" 0
"dBm" -127 "bps" 352 "y" 0
"dBm" -126 "bps" 956 "y" 0
"dBm" -93 "bps" 912 "y" 0
"dBm" -84 "bps" 4128 "y" 1
"dBm" -125 "bps" 566 "y" 0
"dBm" -135 "bps" 944 "y" 0
"dBm" -85 "bps" 1479 "y" 1
"dBm" -90 "bps" 2574 "y" 1
"dBm" -59 "bps" 596 "y" 0
"dBm" -145 "bps" 556 "y" 0
"dBm" -112 "bps" 677 "y" 0
"dBm" -103 "bps" 1080 "y" 1
"dBm" -113 "bps" 899 "y" 0
"dBm" -103 "bps" 1376 "y" 1
"dBm" -137 "bps" 1860 "y" 1
"dBm" -100 "bps" 1401 "y" 1
"dBm" -79 "bps" 3750 "y" 1
"dBm" -89 "bps" 1594 "y" 1
"dBm" -129 "bps" 479 "y" 0
"dBm" -82 "bps" 3043 "y" 1
"dBm" -130 "bps" 1479 "y" 1
"dBm" -110 "bps" 1152 "y" 1
"dBm" -78 "bps" 3021 "y" 1
"dBm" -122 "bps" 1619 "y" 1
"dBm" -100 "bps" 4728 "y" 1
"dBm" -63 "bps" 2184 "y" 1
"dBm" -139 "bps" 795 "y" 0
"dBm" -145 "bps" 1271 "y" 1
"dBm" -86 "bps" 2448 "y" 1
"dBm" -133 "bps" 800 "y" 0
"dBm" -136 "bps" 953 "y" 0
"dBm" -115 "bps" 970 "y" 0
"dBm" -75 "bps" 3960 "y" 1
"dBm" -127 "bps" 1113 "y" 0
"dBm" -141 "bps" 1295 "y" 0
"dBm" -116 "bps" 1894 "y" 1
"dBm" -131 "bps" 865 "y" 0
"dBm" -71 "bps" 3413 "y" 1
"dBm" -91 "bps" 1418 "y" 1
"dBm" -50 "bps" 4645 "y" 1
"dBm" -140 "bps" 471 "y" 0
"dBm" -122 "bps" 734 "y" 0
"dBm" -123 "bps" 472 "y" 0
"dBm" -60 "bps" 2361 "y" 1
"dBm" -128 "bps" 1880 "y" 1
"dBm" -124 "bps" 424 "y" 0
"dBm" -96 "bps" 1695 "y" 1
